NAME_FAMILY_STATUS,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,CNT_FAM_MEMBERS,TARGET
3,1,0,0,1,1,427500,3,-12005,-4542,0,2,1
3,1,0,0,1,1,427500,3,-12005,-4542,0,2,1
4,0,0,0,1,1,112500,1,-21474,-1134,0,2,1
0,0,1,1,0,1,270000,1,-19110,-3051,0,1,1
0,0,1,1,0,1,270000,1,-19110,-3051,0,1,1
0,0,1,1,0,1,270000,1,-19110,-3051,0,1,1
4,1,1,1,1,1,270000,3,-16872,-769,0,2,1
4,1,1,1,1,1,270000,3,-16872,-769,0,2,1
4,0,0,0,1,1,135000,1,-17778,-1194,0,2,1
4,0,0,0,1,1,135000,1,-17778,-1194,0,2,1
4,0,0,0,1,1,135000,1,-17778,-1194,0,2,1
4,0,0,0,1,1,135000,1,-17778,-1194,0,2,1
4,0,0,0,1,1,135000,1,-17778,-1194,0,2,1
4,0,0,0,1,0,130500,2,-10669,-1103,0,2,1
4,0,0,0,1,0,130500,2,-10669,-1103,0,2,1
4,0,1,0,0,1,157500,1,-10031,-1469,0,2,1
4,0,1,0,0,1,157500,1,-10031,-1469,0,2,1
4,0,1,0,0,1,157500,1,-10031,-1469,0,2,1
0,0,0,0,0,1,112500,1,-10968,-1620,1,2,1
0,0,0,0,0,1,112500,1,-10968,-1620,1,2,1
4,0,0,0,1,1,270000,1,-12689,-1163,3,5,1
4,0,0,0,1,1,270000,1,-12689,-1163,3,5,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,0,0,0,1,405000,3,-11842,-2016,1,3,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,1,0,1,1,112500,1,-20502,-4450,0,2,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
4,0,0,0,1,1,135000,1,-15761,-3173,2,4,1
3,0,0,0,0,1,211500,1,-16212,-7099,1,3,1
3,0,0,0,0,1,211500,1,-16212,-7099,1,3,1
4,0,1,0,1,1,360000,1,-16670,-5364,0,2,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
4,0,0,1,0,1,126000,3,-12411,-1773,2,4,1
2,0,0,0,0,1,247500,3,-17016,-1347,0,1,1
2,0,0,0,0,1,247500,3,-17016,-1347,0,1,1
2,0,0,0,0,1,247500,3,-17016,-1347,0,1,1
2,0,0,0,0,1,247500,3,-17016,-1347,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
0,0,0,0,0,1,297000,1,-15519,-3234,0,1,1
